Time,TimeStamp, AccX, AccY, AccZ, GyrX, GyrY, GyrZ, MagX, MagY, MagZ, Roll, Pitch, Yaw, Qw, Qx, Qy, Qz
16-40-54.294,8791, -0.103, -1.153, 1.218, 364.01, -368.07, -243.32, -37.017, 3.767, -34.225, -8.84, -27.22, 50.23, 0.885, 0.032, -0.244, 0.395
16-40-54.300,8796, -0.093, -1.122, 1.058, 361.51, -391.39, -260.41, -37.017, 3.767, -34.225, -6.54, -29.29, 49.09, 0.885, 0.055, -0.253, 0.388
16-40-54.304,8801, -0.101, -1.067, 0.962, 370.91, -400.00, -278.84, -37.017, 3.767, -34.225, -4.04, -31.38, 47.73, 0.884, 0.078, -0.261, 0.381
16-40-54.310,8806, -0.149, -0.888, 0.904, 386.35, -398.65, -298.55, -37.017, 3.767, -34.225, -1.29, -33.40, 46.11, 0.883, 0.103, -0.269, 0.372
16-40-54.314,8811, -0.104, -0.765, 0.842, 404.41, -396.33, -317.41, -37.017, 3.767, -34.225, 1.75, -35.33, 44.22, 0.881, 0.128, -0.276, 0.363
16-40-54.320,8816, -0.122, -0.623, 0.757, 423.88, -397.98, -331.15, -37.017, 3.767, -34.225, 5.10, -37.17, 42.06, 0.879, 0.154, -0.282, 0.353
16-40-54.324,8821, -0.117, -0.486, 0.623, 444.03, -403.35, -337.92, -37.017, 3.767, -34.225, 8.75, -38.92, 39.67, 0.876, 0.180, -0.288, 0.343
16-40-54.330,8826, -0.077, -0.409, 0.463, 459.77, -410.68, -341.16, -37.017, 3.767, -34.225, 12.67, -40.58, 37.05, 0.872, 0.208, -0.294, 0.332
16-40-54.334,8831, -0.031, -0.321, 0.292, 474.24, -414.58, -341.64, -37.017, 3.767, -34.225, 16.87, -42.12, 34.21, 0.867, 0.235, -0.300, 0.322
16-40-54.340,8836, -0.024, -0.278, 0.155, 492.85, -412.33, -338.35, -37.017, 3.767, -34.225, 21.32, -43.50, 31.19, 0.861, 0.263, -0.305, 0.311
16-40-54.344,8841, -0.004, -0.309, 0.042, 514.34, -405.12, -330.35, -37.017, 3.767, -34.225, 26.04, -44.71, 28.03, 0.854, 0.292, -0.309, 0.301
16-40-54.350,8846, -0.037, -0.274, -0.030, 534.18, -394.62, -321.87, -37.017, 3.767, -34.225, 30.99, -45.70, 24.75, 0.845, 0.321, -0.313, 0.292
16-40-54.354,8851, 0.006, -0.260, -0.144, 544.00, -385.10, -317.11, -37.017, 3.767, -34.225, 36.13, -46.49, 21.35, 0.836, 0.350, -0.316, 0.282
16-40-54.360,8856, 0.062, -0.289, -0.231, 546.87, -376.74, -314.85, -37.017, 3.767, -34.225, 41.41, -47.04, 17.85, 0.825, 0.378, -0.318, 0.272
16-40-54.364,8861, 0.058, -0.315, -0.299, 554.50, -362.22, -311.25, -37.017, 3.767, -34.225, 46.74, -47.33, 14.36, 0.814, 0.407, -0.320, 0.263
16-40-54.370,8866, 0.034, -0.328, -0.311, 562.01, -339.75, -308.44, -37.017, 3.767, -34.225, 52.05, -47.33, 10.97, 0.802, 0.434, -0.321, 0.254
16-40-54.375,8871, 0.042, -0.341, -0.294, 559.44, -316.19, -310.76, -37.017, 3.767, -34.225, 57.22, -47.04, 7.74, 0.790, 0.462, -0.320, 0.245
16-40-54.379,8876, 0.016, -0.294, -0.237, 558.28, -298.86, -315.40, -37.017, 3.767, -34.225, 62.26, -46.49, 4.68, 0.778, 0.488, -0.318, 0.236
16-40-54.385,8881, -0.027, -0.332, -0.272, 558.16, -292.82, -320.59, -37.017, 3.767, -34.225, 67.17, -45.73, 1.76, 0.764, 0.515, -0.316, 0.227
16-40-54.388,8886, -0.006, -0.340, -0.353, 547.66, -294.28, -327.12, -37.017, 3.767, -34.225, 71.93, -44.76, -1.05, 0.750, 0.540, -0.313, 0.217
16-40-54.394,8891, -0.052, -0.303, -0.592, 534.24, -295.08, -335.36, -37.017, 3.767, -34.225, 76.51, -43.58, -3.73, 0.736, 0.565, -0.310, 0.206
16-40-54.398,8896, -0.109, -0.213, -0.765, 520.44, -291.23, -346.53, -37.017, 3.767, -34.225, 80.86, -42.19, -6.21, 0.722, 0.589, -0.306, 0.195
16-40-54.404,8901, -0.078, -0.087, -0.857, 507.99, -283.79, -360.32, -37.017, 3.767, -34.225, 84.95, -40.58, -8.46, 0.707, 0.613, -0.302, 0.182
16-40-54.408,8906, -0.083, 0.002, -0.920, 500.42, -272.92, -375.03, -37.017, 3.767, -34.225, 88.77, -38.78, -10.43, 0.692, 0.636, -0.296, 0.170
16-40-54.414,8911, -0.180, 0.204, -0.938, 489.07, -257.42, -390.59, -37.017, 3.767, -34.225, 92.31, -36.79, -12.10, 0.678, 0.657, -0.290, 0.157
16-40-54.418,8916, -0.172, 0.386, -0.958, 473.93, -241.24, -408.05, -37.017, 3.767, -34.225, 95.53, -34.64, -13.46, 0.663, 0.679, -0.282, 0.144
16-40-54.424,8921, -0.191, 0.407, -1.039, 455.75, -229.89, -429.84, -37.017, 3.767, -34.225, 98.48, -32.33, -14.57, 0.649, 0.699, -0.273, 0.130
16-40-54.428,8926, -0.177, 0.466, -1.113, 430.54, -218.72, -458.28, -37.017, 3.767, -34.225, 101.13, -29.85, -15.41, 0.635, 0.718, -0.262, 0.115
16-40-54.434,8931, -0.152, 0.831, -1.227, 409.79, -199.13, -490.69, -37.017, 3.767, -34.225, 103.49, -27.21, -15.95, 0.622, 0.736, -0.250, 0.099
16-40-54.438,8936, -0.083, 1.074, -1.290, 366.76, -163.36, -503.57, -37.017, 3.767, -34.225, 105.46, -24.53, -16.16, 0.610, 0.752, -0.237, 0.084
16-40-54.444,8941, 0.051, 1.228, -1.238, 300.35, -111.54, -465.12, -37.017, 3.767, -34.225, 106.95, -22.12, -16.05, 0.600, 0.765, -0.223, 0.071
16-40-54.448,8946, 0.103, 0.943, -1.076, 255.43, -55.51, -399.99, -37.017, 3.767, -34.225, 108.15, -20.11, -15.71, 0.592, 0.776, -0.210, 0.061
16-40-54.454,8951, 0.078, 0.656, -0.813, 195.13, 2.41, -350.49, -37.017, 3.767, -34.225, 108.97, -18.43, -15.12, 0.586, 0.784, -0.198, 0.054
16-40-54.458,8956, 0.006, 0.415, -0.558, 130.79, 59.84, -326.39, -37.017, 3.767, -34.225, 109.41, -16.97, -14.27, 0.582, 0.790, -0.185, 0.049
16-40-54.464,8961, -0.048, 0.388, -0.296, 76.11, 104.89, -322.72, -37.017, 3.767, -34.225, 109.52, -15.59, -13.21, 0.581, 0.795, -0.171, 0.044
16-40-54.468,8966, -0.246, 0.362, -0.043, 15.25, 129.30, -332.06, -37.017, 3.767, -34.225, 109.27, -14.18, -12.00, 0.582, 0.797, -0.156, 0.040
16-40-54.474,8971, -0.295, 0.137, -0.003, -75.32, 130.09, -347.08, -37.017, 3.767, -34.225, 108.60, -12.67, -10.79, 0.586, 0.798, -0.140, 0.035
16-40-54.478,8976, -0.326, 0.140, 0.034, -165.84, 108.67, -363.13, -37.017, 3.767, -34.225, 107.53, -11.03, -9.68, 0.593, 0.795, -0.124, 0.028
16-40-54.484,8981, -0.329, 0.230, 0.036, -218.39, 80.96, -383.39, -37.017, 3.767, -34.225, 106.24, -9.23, -8.72, 0.601, 0.791, -0.109, 0.019
16-40-54.488,8986, -0.477, 0.454, 0.035, -263.00, 62.35, -410.13, -37.017, 3.767, -34.225, 104.79, -7.27, -7.86, 0.611, 0.786, -0.093, 0.008
16-40-54.494,8991, -0.613, 0.791, 0.030, -305.30, 51.60, -440.09, -37.017, 3.767, -34.225, 103.16, -5.14, -7.07, 0.622, 0.779, -0.076, -0.003
16-40-54.498,8996, -0.725, 1.060, 0.015, -344.36, 41.90, -470.49, -37.017, 3.767, -34.225, 101.37, -2.84, -6.36, 0.633, 0.771, -0.059, -0.016
16-40-54.504,9001, -0.584, 1.423, -0.057, -398.08, 35.49, -497.53, -37.017, 3.767, -34.225, 99.35, -0.39, -5.74, 0.646, 0.761, -0.040, -0.030
16-40-54.510,9006, -0.446, 1.802, -0.167, -454.41, 40.74, -507.96, -37.017, 3.767, -34.225, 97.08, 2.11, -5.17, 0.661, 0.749, -0.022, -0.044
16-40-54.514,9011, -0.247, 2.281, -0.132, -484.81, 64.97, -492.64, -37.017, 3.767, -34.225, 94.69, 4.53, -4.60, 0.675, 0.735, -0.003, -0.056
16-40-54.518,9016, -0.365, 2.387, 0.155, -507.39, 105.01, -449.55, -37.017, 3.767, -34.225, 92.21, 6.75, -3.94, 0.690, 0.720, 0.016, -0.066
16-40-54.524,9021, -0.271, 2.280, 0.617, -534.18, 146.15, -383.21, -37.017, 3.767, -34.225, 89.62, 8.65, -3.17, 0.706, 0.704, 0.034, -0.073
16-40-54.528,9026, -0.310, 1.868, 0.744, -551.27, 165.74, -309.91, -37.017, 3.767, -34.225, 86.97, 10.22, -2.38, 0.721, 0.687, 0.050, -0.076
16-40-54.534,9031, -0.664, 0.199, 0.822, -544.62, 156.83, -244.66, -37.017, 3.767, -34.225, 84.31, 11.55, -1.69, 0.736, 0.669, 0.065, -0.078
16-40-54.538,9036, -0.062, 0.977, 0.802, -469.18, 138.58, -202.42, -37.017, 3.767, -34.225, 82.04, 12.62, -1.12, 0.749, 0.653, 0.077, -0.079
16-40-54.544,9041, -0.543, 0.205, 0.384, -448.37, 107.02, -237.03, -37.017, 3.767, -34.225, 79.84, 13.93, -0.78, 0.761, 0.638, 0.089, -0.083
16-40-54.548,9046, -1.111, -0.030, 0.573, -466.37, 77.30, -301.18, -37.017, 3.767, -34.225, 77.48, 15.56, -0.71, 0.772, 0.621, 0.102, -0.089
16-40-54.554,9051, -0.260, 0.650, 0.436, -389.77, 78.03, -313.45, -37.017, 3.767, -34.225, 75.51, 17.17, -0.70, 0.781, 0.606, 0.114, -0.096
16-40-54.560,9056, -0.457, 0.451, 0.312, -458.99, 79.86, -376.25, -37.017, 3.767, -34.225, 73.15, 19.12, -0.84, 0.791, 0.589, 0.129, -0.105
16-40-54.564,9061, -0.806, 0.822, 0.787, -469.79, 90.67, -433.62, -37.017, 3.767, -34.225, 70.69, 21.35, -1.10, 0.801, 0.570, 0.146, -0.115
16-40-54.570,9066, -0.833, 0.809, 0.589, -385.93, 96.40, -446.38, -37.017, 3.767, -34.225, 68.60, 23.63, -1.46, 0.807, 0.554, 0.162, -0.126
16-40-54.574,9071, -0.346, 1.664, 0.739, -424.75, 82.24, -455.96, -37.017, 3.767, -34.225, 66.25, 25.87, -2.01, 0.814, 0.536, 0.178, -0.137
16-40-54.580,9076, -0.524, 1.504, 0.562, -451.79, 66.43, -433.68, -37.017, 3.767, -34.225, 63.69, 27.97, -2.70, 0.821, 0.517, 0.193, -0.147
16-40-54.584,9081, -0.437, 1.096, 0.738, -506.54, 61.55, -372.71, -37.017, 3.767, -34.225, 60.82, 29.74, -3.38, 0.829, 0.496, 0.207, -0.154
16-40-54.590,9086, -0.651, 0.299, 0.933, -486.58, 72.29, -304.17, -37.017, 3.767, -34.225, 58.06, 31.25, -3.94, 0.837, 0.475, 0.219, -0.160
16-40-54.594,9091, -0.757, -0.103, 1.219, -461.55, 91.21, -284.21, -37.017, 3.767, -34.225, 55.43, 32.70, -4.45, 0.844, 0.456, 0.232, -0.164
16-40-54.600,9096, -1.690, -0.457, 1.575, -410.89, 113.19, -291.78, -37.017, 3.767, -34.225, 53.05, 34.26, -4.96, 0.849, 0.438, 0.245, -0.168
16-40-54.604,9101, -1.068, 0.254, 2.509, -343.45, 110.69, -332.79, -37.017, 3.767, -34.225, 50.85, 35.90, -5.72, 0.852, 0.422, 0.258, -0.175
16-40-54.610,9106, -1.841, 0.165, 2.703, -439.09, 49.77, -430.27, -37.017, 3.767, -34.225, 47.68, 37.70, -7.27, 0.856, 0.400, 0.271, -0.185
16-40-54.614,9111, -0.968, 1.820, 2.269, -434.27, -41.60, -477.33, -37.017, 3.767, -34.225, 44.06, 39.24, -9.59, 0.860, 0.378, 0.281, -0.199
16-40-54.620,9116, -1.142, 1.613, 1.749, -440.92, -133.70, -511.57, -37.017, 3.767, -34.225, 39.90, 40.43, -12.65, 0.864, 0.354, 0.288, -0.214
16-40-54.624,9121, -1.674, 0.894, 1.411, -533.57, -200.72, -532.44, -37.017, 3.767, -34.225, 34.87, 41.26, -16.25, 0.869, 0.325, 0.293, -0.231
16-40-54.630,9126, -0.726, 1.965, 1.076, -493.05, -230.20, -478.24, -37.017, 3.767, -34.225, 30.14, 41.55, -19.73, 0.874, 0.298, 0.296, -0.246
16-40-54.634,9131, -0.951, 1.566, 0.850, -514.23, -239.60, -432.77, -37.017, 3.767, -34.225, 25.43, 41.48, -22.99, 0.878, 0.271, 0.297, -0.258
16-40-54.640,9136, -0.881, 1.412, 0.672, -556.10, -239.96, -387.05, -37.017, 3.767, -34.225, 20.75, 41.13, -25.94, 0.883, 0.242, 0.299, -0.268
16-40-54.643,9141, -0.756, 0.591, 0.474, -522.47, -233.80, -331.57, -37.017, 3.767, -34.225, 16.50, 40.57, -28.48, 0.888, 0.215, 0.299, -0.277
16-40-54.649,9146, -0.719, 0.380, 0.405, -494.39, -218.84, -295.99, -37.017, 3.767, -34.225, 12.62, 39.90, -30.70, 0.891, 0.189, 0.300, -0.283
16-40-54.655,9151, -0.701, 0.244, 0.331, -464.24, -199.07, -290.62, -37.017, 3.767, -34.225, 8.99, 39.23, -32.77, 0.894, 0.165, 0.300, -0.290
16-40-54.659,9156, -0.601, 0.056, 0.352, -446.78, -173.01, -304.72, -37.017, 3.767, -34.225, 5.45, 38.59, -34.85, 0.895, 0.142, 0.302, -0.297
16-40-54.665,9161, -0.951, -0.617, 0.565, -423.53, -138.64, -319.18, -37.017, 3.767, -34.225, 1.98, 38.03, -36.97, 0.895, 0.119, 0.304, -0.305
16-40-54.669,9166, -0.393, 0.412, 0.889, -367.92, -98.54, -332.31, -37.017, 3.767, -34.225, -1.10, 37.54, -39.05, 0.893, 0.099, 0.306, -0.314
16-40-54.675,9171, -0.715, 0.386, 1.205, -364.81, -66.99, -364.84, -37.017, 3.767, -34.225, -4.27, 37.11, -41.30, 0.891, 0.079, 0.310, -0.323
16-40-54.679,9176, -0.734, 0.038, 1.467, -382.45, -59.85, -368.32, -37.017, 3.767, -34.225, -7.52, 36.61, -43.55, 0.887, 0.058, 0.314, -0.332
16-40-54.683,9181, -0.731, -0.423, 1.579, -382.82, -75.96, -333.77, -37.017, 3.767, -34.225, -10.60, 35.95, -45.52, 0.884, 0.038, 0.317, -0.340
16-40-54.692,9186, -0.747, -0.498, 1.513, -385.38, -110.63, -316.25, -37.017, 3.767, -34.225, -13.56, 35.06, -47.28, 0.882, 0.017, 0.319, -0.347
16-40-54.694,9191, -0.662, -0.427, 1.296, -386.60, -155.25, -330.72, -37.017, 3.767, -34.225, -16.45, 33.87, -48.98, 0.879, -0.005, 0.319, -0.355
16-40-54.700,9196, -0.600, -0.281, 1.140, -394.60, -189.97, -354.40, -37.017, 3.767, -34.225, -19.33, 32.42, -50.64, 0.876, -0.028, 0.318, -0.362
16-40-54.704,9201, -0.561, -0.219, 1.067, -395.27, -203.40, -369.11, -37.017, 3.767, -34.225, -22.13, 30.81, -52.23, 0.872, -0.051, 0.316, -0.371
16-40-54.708,9206, -0.605, -0.149, 1.217, -386.05, -192.84, -370.94, -37.017, 3.767, -34.225, -24.79, 29.18, -53.74, 0.868, -0.074, 0.313, -0.379
16-40-54.714,9211, -0.764, -0.045, 1.467, -371.53, -170.56, -364.10, -37.017, 3.767, -34.225, -27.30, 27.62, -55.16, 0.863, -0.096, 0.312, -0.387
16-40-54.718,9216, -0.824, 0.041, 1.631, -361.45, -164.64, -354.52, -37.017, 3.767, -34.225, -29.65, 26.06, -56.44, 0.857, -0.117, 0.310, -0.395
16-40-54.724,9221, -0.794, 0.150, 1.724, -362.19, -180.15, -345.37, -37.017, 3.767, -34.225, -31.89, 24.40, -57.55, 0.852, -0.138, 0.307, -0.402
16-40-54.728,9226, -0.755, 0.278, 1.717, -366.58, -207.25, -335.97, -37.017, 3.767, -34.225, -34.03, 22.63, -58.45, 0.846, -0.159, 0.304, -0.408
16-40-54.734,9231, -0.734, 0.340, 1.620, -366.83, -237.46, -320.53, -37.017, 3.767, -34.225, -36.05, 20.75, -59.10, 0.841, -0.180, 0.299, -0.413
16-40-54.740,9236, -0.679, 0.389, 1.558, -359.93, -261.87, -298.25, -37.017, 3.767, -34.225, -37.93, 18.83, -59.51, 0.836, -0.202, 0.293, -0.417
16-40-54.744,9241, -0.686, 0.400, 1.586, -344.36, -275.18, -272.74, -37.017, 3.767, -34.225, -39.65, 16.92, -59.70, 0.832, -0.222, 0.287, -0.420
16-40-54.750,9246, -0.700, 0.453, 1.652, -327.15, -281.34, -246.92, -37.017, 3.767, -34.225, -41.22, 15.07, -59.71, 0.828, -0.242, 0.280, -0.422
16-40-54.754,9251, -0.797, 0.389, 1.706, -317.08, -290.01, -220.49, -37.017, 3.767, -34.225, -42.70, 13.27, -59.54, 0.824, -0.260, 0.273, -0.423
16-40-54.760,9256, -0.838, 0.375, 1.578, -313.73, -311.01, -192.72, -37.017, 3.767, -34.225, -44.13, 11.51, -59.15, 0.821, -0.279, 0.265, -0.422
16-40-54.764,9261, -0.775, 0.303, 1.276, -315.98, -342.07, -164.09, -37.017, 3.767, -34.225, -45.52, 9.76, -58.50, 0.818, -0.298, 0.257, -0.420
16-40-54.770,9266, -0.598, 0.210, 1.017, -318.36, -373.08, -134.61, -37.017, 3.767, -34.225, -46.91, 8.02, -57.60, 0.815, -0.317, 0.248, -0.416
16-40-54.774,9271, -0.478, 0.176, 0.738, -309.33, -394.44, -106.84, -37.017, 3.767, -34.225, -48.26, 6.34, -56.49, 0.813, -0.336, 0.238, -0.411
16-40-54.780,9276, -0.335, 0.047, 0.482, -302.31, -397.92, -83.16, -37.017, 3.767, -34.225, -49.59, 4.77, -55.25, 0.812, -0.354, 0.228, -0.405
16-40-54.784,9281, -0.203, -0.135, 0.335, -298.65, -383.64, -61.07, -37.017, 3.767, -34.225, -50.96, 3.34, -53.96, 0.810, -0.371, 0.219, -0.398
16-40-54.790,9286, -0.150, -0.268, 0.288, -288.64, -359.29, -40.86, -37.017, 3.767, -34.225, -52.33, 2.10, -52.68, 0.808, -0.388, 0.210, -0.391
16-40-54.794,9291, -0.103, -0.303, 0.285, -278.57, -333.59, -26.95, -37.017, 3.767, -34.225, -53.68, 1.00, -51.43, 0.806, -0.403, 0.203, -0.384
16-40-54.800,9296, -0.089, -0.316, 0.321, -271.06, -312.72, -21.09, -37.017, 3.767, -34.225, -55.01, 0.02, -50.22, 0.803, -0.418, 0.196, -0.376
16-40-54.804,9301, -0.055, -0.146, 0.372, -257.15, -301.36, -21.70, -37.017, 3.767, -34.225, -56.25, -0.90, -49.03, 0.801, -0.432, 0.189, -0.369
16-40-54.810,9306, -0.060, 0.036, 0.425, -235.97, -296.97, -20.42, -37.017, 3.767, -34.225, -57.38, -1.79, -47.85, 0.799, -0.444, 0.182, -0.363
16-40-54.814,9311, -0.029, 0.197, 0.542, -203.62, -294.89, -8.58, -37.017, 3.767, -34.225, -58.36, -2.60, -46.63, 0.797, -0.456, 0.175, -0.356
16-40-54.820,9316, -0.094, 0.290, 0.750, -157.60, -294.95, 21.82, -37.017, 3.767, -34.225, -59.14, -3.26, -45.31, 0.797, -0.465, 0.167, -0.348
16-40-54.824,9321, -0.142, 0.193, 0.870, -110.72, -297.95, 67.84, -37.017, 3.767, -34.225, -59.70, -3.71, -43.86, 0.798, -0.472, 0.160, -0.339
16-40-54.830,9326, -0.203, 0.103, 0.972, -61.89, -307.83, 116.91, -37.017, 3.767, -34.225, -60.04, -3.96, -42.24, 0.801, -0.477, 0.152, -0.328
16-40-54.834,9331, -0.349, 0.036, 1.043, -9.22, -325.53, 162.02, -37.017, 3.767, -34.225, -60.14, -4.04, -40.42, 0.806, -0.480, 0.144, -0.315
16-40-54.840,9336, -0.427, 0.060, 1.072, 41.62, -350.62, 202.24, -37.017, 3.767, -34.225, -60.00, -4.00, -38.40, 0.812, -0.482, 0.136, -0.301
16-40-54.844,9341, -0.532, 0.035, 1.119, 93.75, -375.89, 237.52, -37.017, 3.767, -34.225, -59.62, -3.88, -36.17, 0.819, -0.481, 0.126, -0.285
16-40-54.850,9346, -0.706, -0.219, 1.070, 140.93, -399.45, 285.31, -37.017, 3.767, -34.225, -59.02, -3.62, -33.73, 0.828, -0.479, 0.117, -0.267
16-40-54.854,9351, -0.769, -0.364, 0.982, 168.21, -426.00, 352.26, -37.017, 3.767, -34.225, -58.30, -3.17, -30.99, 0.838, -0.476, 0.107, -0.246
16-40-54.859,9356, -0.928, -0.728, 0.891, 181.82, -446.02, 426.42, -37.017, 3.767, -34.225, -57.52, -2.49, -27.97, 0.848, -0.471, 0.098, -0.222
16-40-54.863,9361, -0.865, -0.904, 0.930, 191.89, -457.19, 479.03, -37.017, 3.767, -34.225, -56.66, -1.67, -24.74, 0.858, -0.466, 0.089, -0.195
16-40-54.869,9366, -0.860, -1.055, 0.974, 202.94, -467.20, 506.68, -37.017, 3.767, -34.225, -55.71, -0.82, -21.39, 0.868, -0.460, 0.081, -0.167
16-40-54.873,9371, -0.955, -1.627, 0.950, 192.38, -476.11, 516.33, -37.017, 3.767, -34.225, -54.78, -0.01, -17.96, 0.877, -0.454, 0.072, -0.139
16-40-54.879,9376, -0.992, -1.547, 0.947, 199.28, -482.21, 488.86, -37.017, 3.767, -34.225, -53.77, 0.61, -14.58, 0.885, -0.448, 0.062, -0.111
16-40-54.883,9381, -0.940, -1.509, 0.881, 223.32, -484.53, 451.26, -37.017, 3.767, -34.225, -52.62, 1.00, -11.29, 0.892, -0.440, 0.051, -0.084
16-40-54.889,9386, -0.932, -1.443, 0.813, 214.47, -484.47, 417.88, -37.017, 3.767, -34.225, -51.50, 1.20, -8.09, 0.899, -0.433, 0.040, -0.059
16-40-54.893,9391, -1.057, -1.243, 0.777, 198.67, -479.28, 390.84, -37.017, 3.767, -34.225, -50.45, 1.26, -5.00, 0.904, -0.425, 0.029, -0.035
16-40-54.899,9396, -0.968, -1.058, 0.697, 204.04, -475.80, 374.30, -37.017, 3.767, -34.225, -49.38, 1.21, -1.97, 0.908, -0.417, 0.017, -0.011
16-40-54.903,9401, -0.945, -1.005, 0.604, 219.48, -476.53, 371.12, -37.017, 3.767, -34.225, -48.23, 1.09, 1.04, 0.913, -0.409, 0.005, 0.012
16-40-54.909,9406, -0.889, -1.004, 0.557, 237.06, -473.79, 382.36, -37.017, 3.767, -34.225, -47.01, 0.96, 4.08, 0.916, -0.399, -0.007, 0.036
16-40-54.913,9411, -0.888, -1.069, 0.537, 260.37, -462.80, 404.39, -37.017, 3.767, -34.225, -45.68, 0.87, 7.15, 0.920, -0.388, -0.017, 0.060
16-40-54.919,9416, -0.985, -1.192, 0.548, 283.87, -444.19, 429.17, -37.017, 3.767, -34.225, -44.24, 0.87, 10.24, 0.922, -0.376, -0.027, 0.085
16-40-54.923,9421, -0.991, -1.433, 0.539, 296.08, -425.94, 448.94, -37.017, 3.767, -34.225, -42.75, 0.91, 13.33, 0.925, -0.363, -0.035, 0.111
16-40-54.929,9426, -0.966, -1.654, 0.505, 295.83, -415.32, 457.00, -37.017, 3.767, -34.225, -41.26, 0.94, 16.42, 0.926, -0.350, -0.043, 0.136
16-40-54.933,9431, -0.897, -1.826, 0.475, 300.41, -409.94, 451.32, -37.017, 3.767, -34.225, -39.76, 0.88, 19.46, 0.926, -0.336, -0.050, 0.162
16-40-54.939,9436, -0.813, -1.983, 0.433, 304.81, -402.86, 432.53, -37.017, 3.767, -34.225, -38.24, 0.71, 22.41, 0.926, -0.322, -0.058, 0.186
16-40-54.943,9441, -0.689, -2.143, 0.423, 289.42, -387.73, 399.75, -37.017, 3.767, -34.225, -36.82, 0.41, 25.18, 0.926, -0.309, -0.066, 0.208
16-40-54.949,9446, -0.586, -2.217, 0.441, 256.47, -363.13, 352.20, -37.017, 3.767, -34.225, -35.59, 0.01, 27.67, 0.925, -0.297, -0.073, 0.228
16-40-54.953,9451, -0.522, -2.284, 0.438, 217.71, -333.35, 290.38, -37.017, 3.767, -34.225, -34.57, -0.50, 29.82, 0.923, -0.286, -0.080, 0.244
16-40-54.959,9456, -0.453, -1.937, 0.482, 208.80, -305.82, 223.85, -37.017, 3.767, -34.225, -33.61, -1.12, 31.60, 0.922, -0.276, -0.088, 0.258
16-40-54.965,9461, -0.399, -1.805, 0.482, 209.29, -286.23, 166.72, -37.017, 3.767, -34.225, -32.66, -1.85, 33.08, 0.921, -0.265, -0.095, 0.269
16-40-54.969,9466, -0.353, -1.588, 0.499, 206.36, -273.41, 123.51, -37.017, 3.767, -34.225, -31.73, -2.65, 34.34, 0.921, -0.255, -0.102, 0.278
16-40-54.975,9471, -0.233, -1.381, 0.499, 217.83, -265.11, 93.17, -37.017, 3.767, -34.225, -30.76, -3.53, 35.43, 0.921, -0.243, -0.109, 0.285
16-40-54.979,9476, -0.190, -1.227, 0.517, 235.16, -258.27, 75.84, -37.017, 3.767, -34.225, -29.70, -4.43, 36.41, 0.921, -0.232, -0.116, 0.292
16-40-54.985,9481, -0.107, -1.166, 0.542, 246.82, -249.73, 69.37, -37.017, 3.767, -34.225, -28.60, -5.34, 37.33, 0.921, -0.219, -0.122, 0.299
16-40-54.989,9486, -0.104, -1.193, 0.584, 253.41, -238.50, 67.54, -37.017, 3.767, -34.225, -27.47, -6.22, 38.20, 0.921, -0.207, -0.127, 0.305
16-40-54.995,9491, -0.077, -1.197, 0.672, 264.71, -226.23, 64.06, -37.017, 3.767, -34.225, -26.29, -7.07, 39.01, 0.921, -0.194, -0.132, 0.311
16-40-54.999,9496, -0.068, -1.241, 0.746, 272.21, -216.28, 54.41, -37.017, 3.767, -34.225, -25.07, -7.92, 39.73, 0.921, -0.181, -0.137, 0.317
16-40-55.005,9501, -0.104, -1.320, 0.828, 268.31, -210.48, 36.47, -37.017, 3.767, -34.225, -23.87, -8.78, 40.35, 0.921, -0.168, -0.141, 0.322
16-40-55.009,9506, -0.049, -1.284, 0.882, 273.31, -209.75, 10.77, -37.017, 3.767, -34.225, -22.62, -9.71, 40.83, 0.921, -0.154, -0.146, 0.325
16-40-55.015,9511, 0.063, -1.147, 0.907, 285.27, -211.64, -19.81, -37.017, 3.767, -34.225, -21.30, -10.72, 41.14, 0.922, -0.140, -0.151, 0.328
16-40-55.019,9516, 0.107, -0.973, 0.935, 292.66, -211.89, -48.49, -37.017, 3.767, -34.225, -19.90, -11.79, 41.30, 0.923, -0.125, -0.155, 0.329
16-40-55.025,9521, 0.142, -0.836, 0.983, 296.75, -208.22, -67.66, -37.017, 3.767, -34.225, -18.46, -12.87, 41.33, 0.924, -0.110, -0.160, 0.329
16-40-55.029,9526, 0.197, -0.787, 1.085, 302.91, -202.61, -76.75, -37.017, 3.767, -34.225, -16.96, -13.95, 41.28, 0.925, -0.095, -0.164, 0.329
16-40-55.035,9531, 0.163, -0.780, 1.215, 310.91, -197.66, -81.76, -37.017, 3.767, -34.225, -15.40, -15.00, 41.16, 0.926, -0.079, -0.168, 0.329
16-40-55.039,9536, 0.171, -0.788, 1.409, 323.48, -197.73, -87.80, -37.017, 3.767, -34.225, -13.76, -16.05, 40.99, 0.927, -0.063, -0.171, 0.329
16-40-55.045,9541, 0.168, -0.816, 1.507, 345.52, -206.88, -95.92, -37.017, 3.767, -34.225, -11.98, -17.15, 40.75, 0.927, -0.045, -0.175, 0.328
16-40-55.049,9546, 0.132, -0.929, 1.612, 367.37, -223.30, -104.64, -37.017, 3.767, -34.225, -10.08, -18.33, 40.44, 0.928, -0.027, -0.179, 0.327
