Time,ID,AccX(G), AccY, AccZ,GyrX(dps), GyrY, GyrZ,MagX(uT), MagY, MagZ,Roll(deg), Pitch, Yaw,Pressure
13-55-42.550,1,0.049,-0.003,1.014,0,-0.1,-0.1,18.3,-27.6,-27.3,-0.5,-2.76,0,0
13-55-42.554,1,0.049,-0.003,1.01,0,-0.1,0,18.3,-27.6,-27.3,-0.5,-2.76,0,0
13-55-42.560,1,0.052,-0.007,1.006,0,0.1,0,18.2,-27.4,-27.5,-0.5,-2.76,0,0
13-55-42.564,1,0.049,-0.007,1.006,0,0,0,18.2,-27.4,-27.5,-0.5,-2.76,0,0
13-55-42.569,1,0.045,-0.003,1.01,0,0,0,18,-27.8,-27.8,-0.5,-2.76,0,0
13-55-42.574,1,0.049,-0.003,1.002,0,0,0,18,-27.8,-27.8,-0.49,-2.76,0,0
13-55-42.579,1,0.049,-0.007,1.01,0,0,0,18.4,-27.2,-27.1,-0.49,-2.76,0,0
13-55-42.585,1,0.045,-0.011,1.013,0,0,-0.2,18.4,-27.2,-27.1,-0.49,-2.76,0,0
13-55-42.589,1,0.045,-0.011,1.021,0,-0.1,0,18.4,-27.4,-27.1,-0.49,-2.76,0,0
13-55-42.594,1,0.045,-0.011,1.006,0,-0.1,0,18.4,-27.4,-27.1,-0.49,-2.76,0,0
13-55-42.600,1,0.052,-0.007,1.006,0,-0.1,0,18.7,-27.4,-27.1,-0.49,-2.76,0,0
13-55-42.604,1,0.045,-0.015,1.013,0,-0.1,-0.1,18.7,-27.4,-27.1,-0.49,-2.76,0,0
13-55-42.609,1,0.045,-0.011,1.013,0,0,-0.1,18.1,-27.1,-27.3,-0.49,-2.76,0,0
13-55-42.615,1,0.052,-0.015,1.006,0,-0.1,0,18.1,-27.1,-27.3,-0.49,-2.76,0,0
13-55-42.619,1,0.049,-0.011,1.006,0,-0.1,0,18.3,-27.4,-27.2,-0.49,-2.76,0,0
13-55-42.625,1,0.053,-0.007,1.017,0.1,0,0,18.3,-27.4,-27.2,-0.5,-2.76,0,0
13-55-42.629,1,0.049,-0.011,1.014,0.1,-0.1,0,18.6,-27.2,-26.8,-0.5,-2.76,0,0
